id,type_of_property,subtype_of_property,locality,price,type_of_sale,rooms,condition,equipped_kitchen,furnished,terrace,garden,open_fire,hasSwimmingPool,living_area_m2,surface_of_land_m2,number_frontage
9152878,house,house,4400,190000,private,3,good,installed,0,100,345,,False,130,527,3
9151264,house,house,4032,139000,private,2,good,semi equipped,0,,,,False,,0,2
9149980,house,house,4711,298000,private,5,good,installed,0,,,,False,180,150,4
8873728,house,mixed use building,4837,155000,private,5,good,not installed,,,,,False,150,250,2
9144395,house,house,4000,310000,private,3,to be done up,,,25,,,False,310,72,2
9143648,house,house,4000,339608,private,4,as new,usa hyper equipped,0,24,250,,False,147,371,3
9141737,house,house,4420,249000,private,3,,,,40,200,,False,310,389,2
9141287,house,mixed use building,4800,125000,private,4,good,semi equipped,0,,,,False,150,0,2
9138968,house,house,4040,174000,private,7,,,0,,,,False,232,779,2
9121717,house,town house,4800,229000,private,4,as new,installed,0,,150,,False,135,242,2
9136111,house,house,4560,175000,private,2,to renovate,,,,,,False,160,991,3
9134412,house,house,4920,179000,private,3,to renovate,not installed,,,,,False,180,614,3
9133662,house,house,4430,254000,private,3,as new,usa hyper equipped,,10,70,,False,150,120,2
9131883,house,house,4020,285000,private,6,good,installed,,,,,False,265,148,2
9129217,house,house,4350,199000,private,3,good,installed,0,,,,False,120,0,3
9127438,house,country cottage,4317,185000,private,1,to renovate,,,,432,,False,,921,3
9125210,house,house,4460,179000,private,5,good,semi equipped,,,98,,False,125,160,2
9123578,house,house,4360,260000,private,5,to be done up,,,,,,False,182,1367,4
9121056,house,house,4600,210000,private,4,good,,,,,,False,200,0,2
9120305,house,house,4420,70000,private,4,,installed,0,16,70,,False,209,270,2
9119378,house,house,4520,223000,private,3,as new,not installed,0,,435,,False,138,425,3
9118150,house,house,4170,139000,private,2,to be done up,,,7,,,False,117,225,3
8965540,house,house,4550,299900,private,3,,not installed,0,20,,,False,130,1157,4
9114853,house,house,4800,145000,private,3,good,not installed,0,12,80,,False,144,152,2
9008720,house,house,4400,249000,private,3,good,usa installed,0,,,,False,126,545,3
9112341,house,other property,4750,520000,private,11,good,semi equipped,1,,,,False,330,0,4
9110529,house,apartment block,4000,245000,private,3,good,semi equipped,1,,,,False,160,82,2
9108912,house,house,4550,475000,private,3,,,0,30,,,False,205,1650,4
8476998,house,house,4101,215000,private,3,to be done up,,,,,,False,,286,3
9105849,house,house,4852,365000,private,6,good,installed,,,,,False,255,1220,4
9103940,house,apartment block,4020,289000,private,8,to be done up,installed,0,30,,,False,275,0,2
9102249,house,house,4550,349000,private,4,to be done up,,0,,,,False,260,8682,4
9099967,house,house,4450,180000,private,3,good,,,,,,False,154,289,3
9099321,house,apartment block,4420,299000,private,85,good,,,,,,False,,0,3
9094287,house,house,4500,220000,private,5,good,installed,,,,,False,,586,2
9089057,house,house,4100,174900,private,4,to be done up,,,25,,,False,,0,2
9084490,house,house,4840,349728,private,4,,usa hyper equipped,0,24,,,False,136,441,3
9082734,house,villa,4347,300000,private,3,,not installed,0,,550,,False,177,701,4
9079852,house,house,4801,60000,private,3,good,hyper equipped,0,,,1,False,110,700,4
9074814,house,house,4042,375315,private,4,,usa hyper equipped,0,24,,,False,173,489,3
9071870,house,house,4570,205000,private,3,,not installed,,,30,,False,116,90,2
9064075,house,apartment block,4000,1150000,private,5,as new,,,10,,,False,545,1631,3
9058057,house,house,4100,159000,private,2,to renovate,,0,,690,,False,95,745,3
9054924,house,house,4280,291124,private,4,as new,,0,,,,False,,500,3
9049930,house,house,4101,175000,private,3,to be done up,installed,0,16,130,,False,187,215,2
9045258,house,apartment block,4130,2376309,private,22,as new,,0,,,,False,,350,4
9042125,house,house,4840,319680,private,3,,usa hyper equipped,0,26,,,False,148,228,2
9039387,house,house,4960,292280,private,4,as new,installed,,,,,False,139,131,2
9036001,house,house,4850,273510,private,3,,,,,,,False,153,549,3
9033503,house,house,4682,135000,private,2,,installed,0,,,,False,73,103,3
9026962,house,house,4540,69000,private,2,to renovate,not installed,,,,,False,110,0,2
9018979,house,house,4020,90000,private,2,to renovate,,0,,,,False,90,74,2
9016154,house,house,4900,339000,private,4,to be done up,hyper equipped,0,17,,,False,260,17,2
9010662,house,house,4032,119000,private,3,to renovate,semi equipped,,,,,False,107,120,3
9002507,house,mixed use building,4920,150000,private,2,to renovate,semi equipped,0,,,,False,196,74,2
8994490,house,house,4300,286000,private,3,,,,,1109,,False,158,1234,4
8992217,house,apartment block,4170,350000,private,4,good,,0,,,,False,381,706,4
8978263,house,house,4840,227340,private,3,,,,,,,False,,232,2
8524623,house,house,4000,158000,private,3,,installed,0,17,,,False,134,157,3
8966295,house,bungalow,4850,254000,private,2,good,installed,0,,,,False,115,798,4
8963917,house,mixed use building,4920,150000,private,3,to renovate,not installed,0,,,,False,135,182,2
8956819,house,house,4100,99000,private,2,,,0,,,,False,,0,2
8952909,house,apartment block,4700,229000,private,3,good,,,,,,False,,155,3
8950307,house,house,4122,370000,private,3,as new,,,20,225,,False,258,500,3
8943747,house,house,4020,168000,private,3,to be done up,,,,,,False,183,90,2
8937243,house,house,4000,93000,private,1,,,,,,,False,,0,2
8927703,house,mixed use building,4130,105000,private,2,to renovate,,,20,,,False,,160,3
8740785,house,house,4100,100000,private,2,good,,,,,,False,,233,3
8917300,house,mixed use building,4420,185000,private,1,to be done up,,,,75,,False,135,160,2
8914450,house,house,4760,327000,private,3,as new,installed,0,16,,,False,,820,4
8902767,house,house,4030,140000,private,2,good,installed,,,,,False,,0,2
8707413,house,villa,4020,395000,private,4,as new,installed,0,40,,1,False,237,862,4
8878615,house,exceptional property,4280,655000,private,5,just renovated,usa hyper equipped,0,,,,True,340,1300,4
8868829,house,house,4100,325000,private,2,,not installed,,100,,,False,125,2839,4
8333398,house,mixed use building,4500,399000,private,5,,,,,,,False,,1154,4
8741040,house,house,4601,225000,private,4,,installed,0,,,,False,281,885,3
8822620,house,villa,4287,215000,private,3,,,,,,,False,,751,3
8816746,house,house,4263,325000,private,4,,installed,0,30,,,False,140,600,3
8805135,house,house,4040,115000,private,2,good,,,,,,False,,0,2
8792194,house,villa,4960,589000,private,4,,,0,66,800,,False,320,1273,4
8778140,house,mixed use building,4700,140000,private,2,to be done up,,,6,,,False,64,48,2
8759596,house,house,4960,237000,private,3,as new,,,,,,False,168,450,3
8743848,house,house,4800,239000,private,4,,not installed,0,,,,False,130,0,2
8742003,house,house,4051,225000,private,5,just renovated,hyper equipped,,,,,False,145,224,2
8726703,house,house,4960,345624,private,3,as new,,0,,,,False,162,1327,4
8705980,house,house,4920,307000,private,4,as new,,,,800,,False,215,1115,4
8661959,house,house,4400,299483,private,4,as new,hyper equipped,0,,,,False,140,875,3
8603803,house,house,4987,260000,private,5,to renovate,not installed,,,,,False,240,1115,3
8556349,house,house,4800,99000,private,4,to renovate,,0,,,,False,140,50,2
8544645,house,house,4851,575000,private,5,,,,,,,False,,2327,4
8478745,house,house,4020,575000,private,7,,,,,,,False,,195,2
8367103,house,town house,4032,235000,private,3,just renovated,,,,,,False,110,500,2
8288211,house,mixed use building,4500,650000,private,6,good,installed,0,,,,False,623,357,2
8235794,house,exceptional property,4877,895000,private,6,good,,,,,,False,470,3871,4
7909393,house,house,4480,278500,private,3,,,,,,,False,148,650,3
7761846,house,farmhouse,4041,750000,private,3,good,installed,,,3254,,True,425,0,4
7463500,house,apartment block,4800,185000,private,300,to restore,,0,,,,False,,0,2
9315509,house,house,1480,230000,private,2,good,,,55,200,,False,145,400,2
9315288,house,exceptional property,1410,2495000,private,8,as new,usa hyper equipped,0,80,2700,,True,950,2700,4
9314332,house,villa,1310,1100000,private,4,good,not installed,0,,,1,False,343,1860,4
9313953,house,country cottage,1325,575000,private,6,to renovate,,,,,,False,450,1525,4
9312307,house,house,1331,210000,public,3,to be done up,installed,,,633,1,False,90,633,4
9311642,house,house,1480,310000,private,4,good,installed,0,25,,,False,160,1603,4
9311004,house,farmhouse,1350,450000,private,4,,,,,,,False,,11000,4
9309947,house,house,1470,357000,private,5,,,,,,,False,202,7000,2
9309293,house,house,1410,435000,private,3,to be done up,installed,,23,,,False,113,400,3
9307376,house,house,1360,195000,private,3,,,,,,,False,,219,2
9287388,house,house,1370,185000,private,3,,not installed,,,350,,False,160,492,3
9305105,house,exceptional property,1390,1099000,private,6,good,,,,,,False,525,1915,4
9303905,house,house,1350,365000,private,3,,,,,,,False,,656,4
9302208,house,house,1380,395000,private,4,as new,,0,,,,False,180,462,3
9160741,house,villa,1430,575000,private,3,to be done up,installed,0,,,1,False,215,2070,4
9300688,house,villa,1410,500000,private,4,good,installed,0,,600,,False,160,864,4
9299409,house,town house,1430,335000,private,3,just renovated,hyper equipped,0,18,,,False,154,100,3
9298342,house,apartment block,1310,480000,private,3,good,,,,,,False,150,160,2
9297364,house,house,1440,340000,private,4,as new,,,10,,,False,170,170,3
9296167,house,house,1390,435000,private,5,,installed,0,,,,False,161,1399,4
9230730,house,apartment block,1400,600000,private,11,to be done up,installed,0,20,,,False,512,340,2
9291662,house,villa,1460,585000,private,4,,usa hyper equipped,0,,,,False,228,1110,4
9290093,house,house,1300,455800,private,3,as new,hyper equipped,0,20,180,,False,202,20000,4
9289259,house,house,1315,315000,private,2,good,installed,,,,1,False,140,2170,3
9288312,house,bungalow,1470,335000,private,2,as new,hyper equipped,0,21,1159,,False,121,1280,4
9286208,house,villa,1325,575000,private,5,good,usa hyper equipped,0,40,2700,,False,250,2875,4
9284757,house,villa,1330,445000,private,4,to be done up,installed,0,,,,False,160,0,4
9283056,house,villa,1457,1060000,private,8,as new,hyper equipped,,,,1,True,578,1538,4
9281461,house,house,1400,325000,private,3,,installed,0,15,40,,False,120,241,2
9279417,house,apartment block,1480,195000,private,5,to renovate,not installed,0,,13,,False,152,179,3
9278168,house,villa,1410,1495000,private,5,as new,hyper equipped,,60,1000,1,True,500,1000,4
9276787,house,house,1471,295000,private,3,as new,usa hyper equipped,0,28,160,,False,185,263,3
9272431,house,villa,1400,40000,private,3,good,installed,0,,258,,False,168,602,4
9271457,house,villa,1310,599000,private,5,as new,installed,,,125,,False,220,256,3
9269766,house,house,1480,289000,private,3,,semi equipped,,14,236,,False,128,405,3
9154262,house,exceptional property,1470,1250000,private,8,to renovate,,1,,35000,,False,1000,35000,4
9266725,house,villa,1480,595000,private,3,as new,semi equipped,,1,1871,,False,219,1991,4
